0: 109 ms ,1: 62.0, 2: 0.0, 3: 0.0, 4: 4518.461538461539, 5: 4122.051282051282, 6: 4395.8974358974365, 7: 4514.871794871796, 8: 4443.589743589744, 9: 4656.923076923077, 10: 4344.102564102564, 11: 4376.410256410257, 12: 4737.435897435898, 13: 4049.7435897435903, 14: 3956.9230769230776, 15: 4238.461538461539, 16: 4590.769230769231, 17: 4384.102564102564, 18: 1611.0, 19: 1712.0, 20: 0.14, 21: 0.0312768779695034, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 6.365988037E-314, 27: -8.556947251509935E71, 28: -3.0635595517878234E150, 29: 6.980156555686383E39, 30: 5.719524470280679E-119, 31: 1.3786384522976506E-150, 32: -2.5981524525594357E-8, 33: 1.378638452297722E-150, 34: -2.59815245258211E-8, 35: 4.628706491538598E-277, 36: -2.5981524525818497E-8, 
0: 140 ms ,1: 63.0, 2: 0.0, 3: 0.0, 4: 4516.410256410257, 5: 4130.769230769231, 6: 4389.2307692307695, 7: 4509.743589743591, 8: 4446.153846153847, 9: 4654.871794871796, 10: 4342.051282051282, 11: 4377.948717948719, 12: 4736.410256410257, 13: 4050.7692307692314, 14: 3953.8461538461543, 15: 4230.256410256411, 16: 4593.846153846154, 17: 4386.153846153847, 18: 1612.0, 19: 1712.0, 20: 0.14, 21: 0.0312768779695034, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: -8.556947251509935E71, 27: 8.4370552648779E-310, 28: 3.5700959269435E-282, 29: -8.556947251509935E71, 30: 1.96445E-319, 31: 0.975544499928391, 32: -8.556947251509935E71, 33: 5.0927898983E-313, 34: -3.2333664311695455E-75, 35: -4.252558376500915E71, 36: 3.57434892785475E-282, 
0: 140 ms ,1: 64.0, 2: 0.0, 3: 0.0, 4: 4523.076923076924, 5: 4121.538461538462, 6: 4396.410256410257, 7: 4515.384615384616, 8: 4445.128205128206, 9: 4653.846153846154, 10: 4346.666666666667, 11: 4382.051282051282, 12: 4737.435897435898, 13: 4052.820512820513, 14: 3957.435897435898, 15: 4234.358974358975, 16: 4591.282051282052, 17: 4382.051282051282, 18: 1612.0, 19: 1712.0, 20: 0.156, 21: 0.0312768779695034, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: -8.556947251509935E71, 27: 5.0927898983E-313, 28: 3.574270120700269E-282, 29: 3.574351510699086E-282, 30: 3.0641619221657E-311, 31: -1.951088816212707, 32: 3.5740468338992965E-282, 33: -8.55694384743836E71, 34: -4.693948672918851E-145, 35: -4.252558376500915E71, 36: 6.3660176334E-314, 
0: 140 ms ,1: 65.0, 2: 0.0, 3: 0.0, 4: 4520.512820512821, 5: 4130.256410256411, 6: 4392.820512820514, 7: 4515.8974358974365, 8: 4442.564102564103, 9: 4652.820512820514, 10: 4343.589743589744, 11: 4380.000000000001, 12: 4736.923076923077, 13: 4051.2820512820517, 14: 3957.9487179487182, 15: 4233.846153846154, 16: 4594.358974358975, 17: 4383.589743589744, 18: 1612.0, 19: 1713.0, 20: 0.156, 21: 0.0312768779695034, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 3.570894549635737E-282, 27: -8.55694384743836E71, 28: 4.2896011117E-314, 29: 5.09735083884E-313, 30: -8.556947251509935E71, 31: 0.975544499928391, 32: 6.3659873986E-314, 33: -8.556947251509935E71, 34: -4.2525572009822243E71, 35: -8.556947251509935E71, 36: 9.3091955349646E-311, 
0: 140 ms ,1: 66.0, 2: 0.0, 3: 0.0, 4: 4518.974358974359, 5: 4123.589743589744, 6: 4393.333333333334, 7: 4515.8974358974365, 8: 4442.051282051282, 9: 4655.384615384616, 10: 4342.051282051282, 11: 4381.025641025642, 12: 4737.435897435898, 13: 4050.2564102564106, 14: 3955.3846153846157, 15: 4235.8974358974365, 16: 4591.282051282052, 17: 4385.641025641026, 18: 1612.0, 19: 1712.0, 20: 0.171, 21: 0.0312768779695034, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 2.121995803E-314, 27: -8.556947251509935E71, 28: -8.556943847436944E71, 29: 1.5E-323, 30: -8.556947251509935E71, 31: -8.556947251509935E71, 32: 8.4374796640361E-310, 33: 1.714763881E-314, 34: -4.252558376500915E71, 35: -8.556947251509935E71, 36: 1.29967998205041E-309, 
0: 171 ms ,1: 67.0, 2: 0.0, 3: 0.0, 4: 4516.410256410257, 5: 4126.666666666667, 6: 4391.794871794872, 7: 4513.846153846154, 8: 4443.589743589744, 9: 4655.8974358974365, 10: 4344.102564102564, 11: 4379.48717948718, 12: 4738.461538461539, 13: 4050.7692307692314, 14: 3953.333333333334, 15: 4235.8974358974365, 16: 4591.794871794872, 17: 4386.153846153847, 18: 1612.0, 19: 1713.0, 20: 0.171, 21: 0.0312768779695034, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: -4.252558376500915E71, 27: -8.556947251509935E71, 28: 8.43641866614063E-310, 29: 3.5695442771974055E-282, 30: -8.556947251509935E71, 31: 1.9643E-319, 32: 0.975544499928391, 33: -8.556947251509935E71, 34: 5.0927898983E-313, 35: -3.2333664311695455E-75, 36: -8.556947251509935E71, 
0: 171 ms ,1: 68.0, 2: 0.0, 3: 0.0, 4: 4521.538461538462, 5: 4126.666666666667, 6: 4392.307692307693, 7: 4514.358974358975, 8: 4444.615384615385, 9: 4655.8974358974365, 10: 4346.666666666667, 11: 4377.948717948719, 12: 4737.948717948719, 13: 4051.2820512820517, 14: 3953.8461538461543, 15: 4236.410256410257, 16: 4592.820512820514, 17: 4385.128205128206, 18: 1612.0, 19: 1712.0, 20: 0.187, 21: 0.0312768779695034, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: -4.252558376500915E71, 27: -8.556947251509935E71, 28: 5.0927898983E-313, 29: 3.546805844055293E-282, 30: 3.5468872340542385E-282, 31: 3.0641619221657E-311, 32: -1.951088816212707, 33: 3.546582557248042E-282, 34: -8.55694384743836E71, 35: -4.693948672918851E-145, 36: -8.556947251509935E71, 
0: 171 ms ,1: 69.0, 2: 0.0, 3: 0.0, 4: 4522.564102564103, 5: 4128.717948717949, 6: 4392.820512820514, 7: 4514.871794871796, 8: 4442.051282051282, 9: 4651.794871794872, 10: 4345.128205128206, 11: 4379.48717948718, 12: 4737.948717948719, 13: 4050.7692307692314, 14: 3955.3846153846157, 15: 4235.384615384616, 16: 4590.769230769231, 17: 4386.153846153847, 18: 1611.0, 19: 1713.0, 20: 0.187, 21: 0.0312768779695034, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: -4.252558376500915E71, 27: 3.543325196842382E-282, 28: -8.55694384743836E71, 29: 4.2895969793E-314, 30: 5.0973504256E-313, 31: -8.556947251509935E71, 32: 0.975544499928391, 33: 6.3659873907E-314, 34: -8.556947251509935E71, 35: -4.2525572009822243E71, 36: 3.546884651156694E-282, 
0: 171 ms ,1: 70.0, 2: 0.0, 3: 0.0, 4: 4518.974358974359, 5: 4129.74358974359, 6: 4390.256410256411, 7: 4512.820512820514, 8: 4441.538461538462, 9: 4651.282051282052, 10: 4342.051282051282, 11: 4378.974358974359, 12: 4740.000000000001, 13: 4050.7692307692314, 14: 3954.358974358975, 15: 4232.307692307693, 16: 4591.794871794872, 17: 4386.666666666667, 18: 1613.0, 19: 1712.0, 20: 0.202, 21: 0.0312768779695034, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: -4.252558376500915E71, 27: 2.121995803E-314, 28: -8.556947251509935E71, 29: -8.556943847436944E71, 30: 1.5E-323, 31: -8.556947251509935E71, 32: -8.556947251509935E71, 33: 8.43684306529883E-310, 34: 1.714763881E-314, 35: -4.252558376500915E71, 36: 6.3659873887E-314, 
0: 202 ms ,1: 71.0, 2: 0.0, 3: 0.0, 4: 4518.974358974359, 5: 4123.076923076924, 6: 4395.384615384616, 7: 4512.820512820514, 8: 4445.128205128206, 9: 4656.410256410257, 10: 4343.076923076924, 11: 4377.435897435898, 12: 4740.512820512821, 13: 4050.2564102564106, 14: 3953.8461538461543, 15: 4238.974358974359, 16: 4589.743589743591, 17: 4381.538461538462, 18: 1612.0, 19: 1712.0, 20: 0.202, 21: 0.0312768779695034, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: -4.252558376500915E71, 27: -8.556947251509935E71, 28: 8.43641866614063E-310, 29: 3.5695442771974055E-282, 30: -8.556947251509935E71, 31: 1.9643E-319, 32: 0.975544499928391, 33: -8.556947251509935E71, 34: 5.0927898983E-313, 35: -3.2333664311695455E-75, 36: -8.556947251509935E71, 
