#Bing while the button was pressed, I was trying to wave my left arm up and down in my head. Thinking nothing otherwise.
234 10.0 0.0 471.0 4512.307692307693 4036.410256410257 4381.025641025642 4524.102564102564 4494.358974358975 4732.307692307693 4344.615384615385 4381.025641025642 4717.435897435898 4026.1538461538466 3937.9487179487182 4200.000000000001 4588.717948717949 4379.48717948718 1603.0 1709.0 0.234 0.0312768779695034 0.0 0.0 0.0 0.0 0 4  4  4  4  4  4  4  4  4  4 4  4  4  4 
234 11.0 0.0 469.0 4522.051282051282 4039.48717948718 4389.2307692307695 4536.923076923077 4489.2307692307695 4747.179487179488 4354.871794871796 4396.923076923077 4729.743589743591 4042.0512820512827 3949.2307692307695 4200.512820512821 4602.051282051282 4389.2307692307695 1604.0 1707.0 0.234 0.0312768779695034 0.0 0.0 0.0 0.0 0 4  4  4  4  4  4  4  4  4  4  4  4  4  4 
234 12.0 0.0 467.0 4528.717948717949 4031.2820512820517 4399.48717948718 4542.051282051282 4487.179487179488 4744.615384615386 4362.564102564103 4403.589743589744 4737.948717948719 4064.615384615385 3962.0512820512827 4205.128205128206 4615.8974358974365 4401.025641025642 1602.0 1707.0 0.234 0.0312768779695034 0.0 0.0 0.0 0.0 0 4  4  4  4  4  4  4  4  4  4  4  4  4  4 
247 13.0 0.0 411.0 4524.102564102564 4026.666666666667 4394.871794871796 4528.205128205129 4490.256410256411 4732.307692307693 4354.871794871796 4394.871794871796 4735.8974358974365 4059.48717948718 3949.7435897435903 4203.589743589744 4603.589743589744 4395.8974358974365 1604.0 1707.0 0.247 0.0312768779695034 0.0 0.0 0.0 0.0 0 4  4  4  4  4  4  4  4  4  4  4  4  4  4 
247 14.0 0.0 471.0 4512.307692307693 4036.410256410257 4383.076923076924 4518.461538461539 4494.358974358975 4735.8974358974365 4346.666666666667 4386.153846153847 4734.358974358975 4038.9743589743593 3936.410256410257 4196.410256410257 4589.743589743591 4385.641025641026 1602.0 1707.0 0.247 0.0312768779695034 0.0 0.0 0.0 0.0 0 4  4  4  4  4  4  4  4  4  4  4  4  4  4 
247 15.0 0.0 469.0 4507.6923076923085 4040.0000000000005 4380.512820512821 4524.102564102564 4490.256410256411 4743.589743589744 4347.6923076923085 4388.717948717949 4735.8974358974365 4038.461538461539 3947.692307692308 4199.48717948718 4598.974358974359 4389.743589743591 1603.0 1708.0 0.247 0.0312768779695034 0.0 0.0 0.0 0.0 0 4  4  4  4  4  4  4  4  4  4  4  4  4  4 
247 16.0 0.0 0.0 4510.256410256411 4034.358974358975 4384.615384615385 4525.641025641026 4485.641025641026 4736.410256410257 4350.256410256411 4391.794871794872 4734.871794871796 4043.076923076924 3955.8974358974365 4203.076923076924 4605.641025641026 4392.820512820514 1603.0 1707.0 0.247 0.0312768779695034 0.0 0.0 0.0 0.0 0 4  4  4  4  4  4  4  4  4  4  4  4  4  4 
247 17.0 0.0 0.0 4507.6923076923085 4031.2820512820517 4381.538461538462 4520.000000000001 4490.256410256411 4722.564102564103 4349.743589743591 4383.076923076924 4728.717948717949 4029.23076923077 3944.1025641025644 4193.846153846154 4591.282051282052 4380.000000000001 1603.0 1709.0 0.247 0.0312768779695034 0.0 0.0 0.0 0.0 0 4  4  4  4  4  4  4  4  4  4  4  4  4  4 
247 18.0 0.0 0.0 4502.564102564103 4023.589743589744 4376.410256410257 4518.974358974359 4483.589743589744 4723.589743589744 4353.846153846154 4378.974358974359 4725.641025641026 4019.48717948718 3936.9230769230776 4187.6923076923085 4580.000000000001 4371.794871794872 1603.0 1710.0 0.247 0.0312768779695034 0.0 0.0 0.0 0.0 0 4  4  4  4  4  4  4  4  4  4  4  4  4  4 
247 19.0 0.0 0.0 4505.128205128206 4015.3846153846157 4376.923076923077 4520.000000000001 4472.307692307693 4743.076923076924 4360.000000000001 4390.769230769231 4731.794871794872 4029.7435897435903 3942.564102564103 4195.8974358974365 4590.769230769231 4380.512820512821 1603.0 1711.0 0.247 0.0312768779695034 0.0 0.0 0.0 0.0 0 4  4  4  4  4  4  4  4  4  4  4  4  4  4 
247 20.0 0.0 0.0 4506.666666666667 4018.9743589743593 4382.051282051282 4520.512820512821 4480.512820512821 4748.205128205129 4357.435897435898 4395.384615384616 4735.8974358974365 4039.48717948718 3952.307692307693 4202.564102564103 4602.564102564103 4390.769230769231 1603.0 1711.0 0.247 0.0312768779695034 0.0 0.0 0.0 0.0 0 4  4  4  4  4  4  4  4  4  4  4  4  4  4 
